ParticipantID,BlockNumber,SubjectiveBlockTotalTime,ResponseTimeSubjectiveBlockTotalTime,ResponseTimeFirstAttemptSubjectiveBlockTotalTime,AttemptsAnswerSubjectiveBlockTotalTime,ConfidenceSubjectiveBlockTotalTime,ResponseTimeConfidenceSubjectiveBlockTotalTime,LevelBoredom,ResponseTimeLevelBoredom,TotalObjectiveBlockTime
1,1,15,17.145,,,3,22.61559999999404,3,30.83559999999404,796.302
1,2,18,8.723400000005961,0.0,1.0,4,13.153800000011922,4,15.489800000011922,854.8375
1,3,14,8.34559999999404,0.0,1.0,3,9.277299999982118,3,12.253899999976158,691.7450999999941
1,4,16,9.6975,0.0,1.0,3,10.55709999999404,3,12.17379999998212,870.591800000012
1,5,17,8.48519999998808,0.0,2.0,3,10.59480000001192,3,11.86840000000596,743.752
2,1,15,9.598599999964238,,,2,12.201799999952316,2,14.5195,747.5265999999642
2,2,15,4.085100000023842,0.0,2.0,3,5.967800000011921,3,7.0835,758.3408000000119
2,3,20,2.801900000035763,0.0,1.0,2,4.984300000011921,2,5.599800000011921,827.9933999999762
2,4,15,2.744800000011921,0.0,1.0,3,6.366800000011921,3,5.866899999976158,709.8106000000239
2,5,15,2.3885,0.0,1.0,3,3.783699999988079,3,4.466299999952316,630.1552999999523
3,1,10,7.013599999904633,,,4,14.350199999809265,4,33.654,787.131
3,2,20,147.4162000000477,0.0,1.0,2,160.463,2,161.599,1054.4297999999524
3,3,15,4.191400000095367,0.0,1.0,3,4.933700000047684,3,5.822,733.3435
3,4,15,4.727799999952317,0.0,1.0,3,5.541099999904633,3,7.949900000095368,727.1585
3,5,12,5.759800000190735,0.0,1.0,4,6.886400000095367,4,14.014400000095367,691.143100000143
4,1,12,118.84,,,3,121.379,3,124.55470000000112,746.4662999999989
4,2,11,17.801599999999627,0.0,1.0,3,26.3085,3,30.444,701.5113999999985
4,3,9,9.301900000000373,0.0,1.0,3,11.748400000000371,3,13.98260000000149,613.2573000000008
4,4,13,14.1785,0.0,1.0,2,17.092699999999255,2,19.373099999999628,682.3849000000004
4,5,10,7.509,0.0,1.0,3,10.2925,3,13.477,607.7809000000022
5,1,13,17.414700000047684,,,2,21.30270000004768,2,24.318700000047684,735.8815
5,2,10,11.431,0.0,1.0,2,13.862700000047685,2,15.902600000023842,681.2568000000715
5,3,12,3.175399999976158,0.0,1.0,2,6.702899999976158,2,7.9268999999761585,633.5527999999523
5,4,13,3.910899999976158,0.0,1.0,2,5.095,2,6.462399999976158,602.8167999999523
5,5,14,2.911399999976158,0.0,1.0,2,3.742299999952316,2,5.894099999904633,581.7927000000477
6,1,10,23.50389999999851,,,3,25.85769999999925,3,32.629099999999625,617.1000999999997
6,2,12,10.028699999999256,0.0,1.0,3,11.839699999999254,3,14.267199999999256,615.3274000000004
6,3,11,5.2754000000003725,0.0,1.0,3,6.342400000000373,3,10.626599999999629,574.6689000000003
6,4,13,7.2145,0.0,1.0,3,9.029199999999255,3,11.071199999999257,573.9143999999985
6,5,12,6.43270000000298,0.0,1.0,3,7.523700000002981,3,9.974,549.2761999999992
7,1,10,12.682299999952315,,,3,16.435299999952317,3,21.66529999995232,567.286
7,2,5,7.853800000071526,0.0,1.0,3,11.291,3,13.890800000071524,691.5489000000954
7,3,5,10.588299999952316,0.0,1.0,3,14.563399999976156,3,15.883600000023842,598.5706000000239
7,4,6,7.497600000023842,0.0,1.0,3,11.186900000095369,3,14.030700000047684,606.9546999999285
7,5,5,5.037600000023842,0.0,1.0,3,7.014899999976159,3,8.890899999976158,586.5602000000476
8,1,15,12.780300000071524,,,4,17.465200000047684,4,21.316300000071525,599.0171000000238
8,2,10,11.793,0.0,1.0,4,14.013600000023844,4,17.140700000047683,568.6632000000477
8,3,13,8.455100000023842,0.0,1.0,4,10.403300000071525,4,17.5095,555.1575
8,4,12,8.428100000023841,0.0,1.0,4,10.09339999997616,4,12.804299999952317,549.6515999999046
8,5,14,14.649199999928474,0.0,3.0,4,15.973799999952316,4,18.048,550.1025
9,1,10,17.017100000143053,,,1,19.50890000009537,1,24.610100000143053,699.1275
9,2,11,6.607699999809265,0.0,1.0,1,8.662399999856948,1,12.266799999952315,682.3002999999524
9,3,10,3.769899999856949,0.0,1.0,1,5.802,1,6.7288999998569485,673.9977999999523
9,4,10,2.817600000143051,0.0,1.0,1,4.52,1,5.507700000047684,671.8442999999523
9,5,10,2.4212999999523164,0.0,1.0,1,3.866900000095368,1,4.609900000095368,675.148100000143
10,1,19,65.5335,,,2,71.27929999999702,2,81.05020000000297,1061.4835
10,2,18,17.11259999999404,0.0,1.0,3,23.68890000000596,3,26.828,979.968700000003
10,3,19,21.003100000008946,0.0,1.0,2,24.48430000001192,2,26.6965,934.0682999999972
10,4,17,20.13520000001788,0.0,2.0,3,24.08580000001192,3,31.68730000001192,885.141099999994
10,5,18,11.59820000001788,0.0,1.0,2,17.54270000001788,2,20.3765,903.278799999982
11,1,10,11.027200000286102,,,3,14.287200000286102,3,16.9997000002861,656.8125
11,2,11,4.004599999904633,0.0,1.0,3,5.608,3,7.415699999809265,673.2663000001908
11,3,12,2.124400000095368,0.0,1.0,4,3.625300000190735,4,5.108400000095368,635.2785999999046
11,4,13,2.2990999999046324,0.0,1.0,4,3.7987000002861024,4,5.017700000286102,698.0602000002862
11,5,12,2.4639000000953675,0.0,1.0,4,4.0930999999046325,4,5.658,680.3212999997139
12,1,10,15.914399999976158,,,2,19.10069999998808,2,23.60739999997616,771.369699999988
12,2,15,10.61930000001192,0.0,1.0,2,13.27440000000596,2,16.298,786.5997000000178
12,3,15,12.8095,0.0,2.0,2,14.333,2,16.08240000000596,711.54
12,4,15,3.40559999999404,0.0,1.0,2,4.87709999999404,2,6.27459999999404,725.8844000000059
12,5,15,2.7905999999940394,0.0,1.0,2,4.553899999976158,2,5.807699999988079,765.1842000000179
13,1,12,28.18479999923706,,,2,11.84339999961853,2,37.17479999923706,703.7737000007629
13,2,14,10.60639999961853,0.0,1.0,3,13.18939999961853,3,17.24729999923706,709.2158000011444
13,3,14,4.961900001525879,0.0,1.0,2,8.7775,2,12.81360000038147,751.573700000763
13,4,18,3.9456000003814697,0.0,1.0,3,7.10789999961853,3,10.99189999961853,621.636299999237
13,5,20,2.9197999992370605,0.0,1.0,1,5.78719999885559,1,9.44219999885559,622.3403000011444
14,1,10,40.66910000002384,,,2,44.01440000003576,2,50.370400000035765,556.8636000000239
14,2,10,11.799600000023842,0.0,1.0,3,18.71810000002384,3,20.39930000001192,557.6768000000119
14,3,7,5.6655,0.0,1.0,3,11.247100000023842,3,18.73420000004768,518.5933000000119
14,4,7,7.355099999964237,0.0,1.0,3,10.06830000001192,3,13.076399999976156,515.517
14,5,11,7.085199999988079,0.0,1.0,3,9.97269999998808,3,13.430799999952317,494.595
15,1,12,11.43629999999702,,,3,13.78079999999702,3,16.03910000000894,526.993900000006
15,2,10,11.90070000000298,0.0,1.0,3,15.35060000000894,3,16.8445,508.98620000000295
15,3,10,3.68920000000298,0.0,1.0,4,6.89859999999404,4,7.810599999994039,492.6225
15,4,10,4.1072000000029805,0.0,1.0,4,4.67870000000298,4,5.48070000000298,491.150200000003
15,5,10,2.0435,0.0,1.0,3,3.28070000000298,3,3.78270000000298,473.687900000006
16,1,8,28.350700000000185,,,3,16.673200000000186,3,20.614700000000187,730.2931000000001
16,2,12,10.66289999999944,0.0,3.0,2,12.933299999999814,2,16.856700000000185,763.0577000000002
16,3,20,4.096700000000186,0.0,1.0,3,7.235599999999628,3,9.996900000000371,837.3315999999996
16,4,16,7.3005,0.0,1.0,2,9.003300000000745,2,11.955,800.8756000000001
16,5,20,5.427799999998882,0.0,2.0,2,8.337799999998882,2,10.198799999998885,754.8118999999986
17,1,12,12.399400001525878,,,3,15.054900001525878,3,19.07570000076294,621.9677999992371
17,2,14,8.716200000762939,0.0,1.0,3,10.995399999618533,3,15.38620000076294,613.9158999996185
17,3,14,7.37939999961853,0.0,1.0,2,10.29760000038147,2,12.72760000038147,616.1917000007629
17,4,15,4.74960000038147,0.0,1.0,3,7.462699998855591,3,11.96010000038147,589.461
17,5,15,4.141,0.0,1.0,3,5.462599998474121,3,7.126599998474121,559.3901000003815
18,1,20,22.15430000001192,,,4,32.6765,4,44.33059999999404,907.2435
18,2,17,11.15959999999404,0.0,1.0,3,14.12090000000596,3,17.059800000011922,921.049699999988
18,3,20,8.51569999998808,0.0,1.0,2,11.080900000035763,2,14.83580000001192,1187.90000000003
18,4,15,11.6725,0.0,1.0,4,15.682799999952316,4,17.2695,892.126300000012
18,5,16,26.3565,0.0,1.0,4,29.21980000001192,4,32.43359999996424,860.4136000000238
19,1,10,15.203299999952316,,,3,19.265100000023843,3,26.28489999997616,617.0828999999761
19,2,10,9.7285,0.0,1.0,3,14.436899999976156,3,19.312300000071527,572.7965
19,3,15,5.918699999928474,0.0,1.0,2,14.037299999952316,2,15.207599999904632,583.0190999999046
19,4,15,8.322599999904632,0.0,2.0,2,13.0475,2,14.907599999904631,614.3392000000476
19,5,15,7.887899999976158,0.0,2.0,3,12.245,3,14.44239999997616,555.4184000000954
20,1,12,12.799099999904632,,,3,15.9725,3,18.7135,615.141
20,2,15,4.746299999713898,0.0,1.0,3,7.342900000095367,3,10.602,598.0503000001908
20,3,10,3.4767000002861024,0.0,1.0,4,6.785200000286102,4,8.157300000190736,558.9855
20,4,9,4.157,0.0,1.0,4,5.297099999904632,4,7.092200000286102,546.2752999997139
20,5,10,2.7499000000953675,0.0,1.0,4,3.833400000095368,4,5.41010000038147,544.0852999997139
21,1,25,12.935799999999814,,,2,18.0655,2,22.380399999999906,650.8281000000001
21,2,30,8.291700000000187,0.0,1.0,1,11.691200000000189,1,14.38789999999944,647.0615000000003
21,3,20,5.728399999999441,0.0,2.0,2,6.682899999999441,2,8.495700000000186,711.6682000000002
21,4,20,3.0295999999996277,0.0,1.0,1,6.056,1,7.382,711.2665
21,5,15,3.6382000000001855,0.0,1.0,2,7.043399999999441,2,9.444799999999814,698.4537000000001
22,1,18,27.53380000000447,,,2,23.11690000000596,2,31.2045,798.0835
22,2,25,3.87410000000149,0.0,1.0,3,7.22330000000447,3,8.59610000000149,637.7728000000045
22,3,10,19.17369999999553,0.0,1.0,4,20.756,4,23.14069999999553,820.6068999999985
22,4,15,5.243,0.0,1.0,4,7.41279999999702,4,8.560299999997019,711.5392999999971
22,5,15,2.88189999999851,0.0,1.0,4,3.66639999999851,4,5.45310000000149,813.0261000000015
23,1,15,38.33769999992848,,,3,18.05839999997616,3,21.670099999904632,852.6188999999762
23,2,20,8.611899999976158,0.0,2.0,2,18.17260000002384,2,23.43189999997616,986.9972000000477
23,3,20,9.345600000023842,0.0,2.0,2,12.301800000071523,2,16.67710000002384,935.9553999999762
23,4,25,8.908299999952316,0.0,1.0,4,24.01839999997616,4,25.90979999995232,1151.245399999976
23,5,25,3.052100000023842,0.0,1.0,3,5.727399999976158,3,8.1395,821.1471000000239
