ParticipantID,BlockNumber,BreakTimeDuration,BreakTime
1,2,213.03060000002384,2606.896900000006
1,3,236.76730000001191,3698.507400000006
1,4,228.31410000002384,4618.567400000006
1,5,182.58630000001196,5671.744099999994
2,2,217.00709999996425,1587.1895999999642
2,3,240.6303000000119,2586.1613999999763
2,4,208.3047000000477,3622.460300000012
2,5,319.28509999996425,4651.556599999964
3,2,188.877,1402.633
3,3,263.4137999999523,2720.4777999999524
3,4,185.0207000000477,3638.8435
3,5,210.638,4576.641200000047
4,2,259.1475999999996,1881.4486
4,3,245.3240999999996,2828.2871
4,4,237.21170000000112,3678.7595
4,5,189.7149000000004,4550.861
5,2,220.3987999999523,1470.952600000024
5,3,182.4707999999523,2334.680899999976
5,4,181.90270000004767,3150.137100000024
5,5,182.11080000007152,3935.065300000072
6,2,182.92419999999925,1472.675699999999
6,3,182.9657999999989,2270.971899999998
6,4,181.4468999999985,3027.0918999999985
6,5,181.43280000000075,3782.442199999999
7,2,194.2132000000477,2237.119899999976
7,3,201.70210000002385,3130.3716999999283
7,4,208.2545,3937.197399999976
7,5,200.86989999997616,4745.022399999976
8,2,209.89929999995232,1926.4065
8,3,194.96960000002383,2690.0398000000714
8,4,182.4872999999523,3427.685399999976
8,5,191.49969999992848,4168.8385
9,2,182.11240000009536,1664.9187999999524
9,3,190.87619999980927,2538.0968999998568
9,4,182.54490000009537,3394.641200000048
9,5,183.43260000014303,4249.920200000048
10,2,219.81729999999703,3048.963700000003
10,3,232.020400000006,4260.954700000003
10,4,238.48770000000297,5433.513600000009
10,5,203.9267000000179,6522.582700000003
11,2,191.1087000002861,1329.2559000000954
11,3,181.9385,2184.462699999809
11,4,181.72819999980928,3001.471699999809
11,5,181.86980000019076,3881.403300000191
12,2,182.9962000000179,1552.988
12,3,207.3525,2546.949900000006
12,4,193.8106999999881,3452.3122999999823
12,5,192.9432999999821,4371.140299999982
13,2,181.7008000011444,1436.236700000763
13,3,281.4911000003815,2426.9465
13,4,187.51720000076293,3366.0521000003814
13,5,214.02110000038147,4201.709200000763
14,2,229.01209999996425,1464.4327999999523
14,3,193.23809999996425,2215.349599999964
14,4,182.32609999996424,2916.2700999999643
14,5,184.04289999997616,3615.831799999952
15,2,197.81,1355.094700000003
15,3,210.60459999999404,2074.686599999994
15,4,202.1045,2769.414299999997
15,5,208.65739999999107,3469.222399999991
16,2,203.5465,1599.7105
16,3,211.6027999999998,2574.3716
16,4,224.6125999999996,3636.3165
16,5,231.94109999999964,4669.1337
17,2,181.19410000038147,1518.4083000011444
17,3,182.3008999996185,2314.6262000007628
17,4,181.114,3111.9333000011443
17,5,182.4975,3883.8945
18,2,199.75209999999404,2311.852399999976
18,3,214.23530000001196,3447.137699999988
18,4,198.6835,4833.721599999964
18,5,188.91539999997616,5914.763599999964
19,2,193.88089999997612,2048.813100000024
19,3,183.02870000004768,2804.639800000072
19,4,223.16940000009535,3610.829400000096
19,5,197.51910000002383,4422.688800000072
20,2,239.86830000019077,1319.549700000286
20,3,267.8686999998093,2185.4690999999048
20,4,213.26309999990465,2957.717800000191
20,5,180.02269999980928,3684.015900000096
21,2,182.24379999999985,1532.1997
21,3,184.23289999999943,2363.4958
21,4,185.45709999999963,3260.6211
21,5,191.713,4163.6007
22,2,182.56269999999552,2403.2208999999984
22,3,265.114200000003,3306.109100000001
22,4,197.749799999997,4324.467299999997
22,5,238.0133999999985,5274.021299999997
23,2,183.8715,1661.259
23,3,182.15620000004768,2830.407399999976
23,4,189.55319999992847,3955.925199999928
23,5,182.12120000004768,5289.294399999976
